ステージ名,Attack,Modifier,Branch,Other
1-2,AreaHeal / Enchant / ExampleSpellClickTrigger / FireShot / FireShotClickTrigger / Gumball / IceBreak / WaterShot / WaterShotClickTrigger,AccelDown / AccelUp / Directivity / Downward / FireDamage / Penetration / TeleportHoming,FiveChainCast / ThreeChainCast / TwoChainCast,AddClickTrigger / CoolTimeShorten / TwoMultiplier
1-4,AreaHeal / Blade / Enchant / ExampleSpellClickTrigger / FireShot / FireShotClickTrigger / HealShot / HealShotClickTrigger,AccelLeft / AccelRight / AddGravity / AdditionalKnockback / Downward / Elasticity / FireDamage / IceDamage / Invert / Shorten,FiveChainCast / ThreeChainCast / TwoChainCast,Following / ThreeMultiplier / TwoMultiplier / TwoSplit
1-6,Blade / Enchant / ExampleSpell / ExampleSpellClickTrigger / FireShot / FireShotClickTrigger / Gumball / IceShot / IceShotClickTrigger / WoodShot / WoodShotClickTrigger,Acceleration / AdditionalKnockback / Contraction / Downward / FireDamage / HealingDamage / InvertHorizontal / Penetration / TeleportHoming / WoodDamage,FiveChainCast / ThreeChainCast / ThreeRandomChainCast / TwoChainCast,AddClickTrigger / FiveMultiplier / Following / TwoMultiplier
2-2,Blade / FireflyTrigger / Gumball / IceShot / IceShotClickTrigger / ReflectBarrier / WaterShot / WaterShotClickTrigger / WoodShot / WoodShotClickTrigger,AccelDown / AdditionalDamage / Contraction / Directivity / Extension / Homing / IceDamage / InvertHorizontal / InvertVertical / LowGravity / Pause / Penetration / Remote / Repulsion / TurnLeft / WaterDamage / WoodDamage,TwoChainCast,FiveMultiplier / FiveSplit / Orbit / TwoSplit
2-4,Barrier / ExampleSpell / ExampleSpellClickTrigger / FireShot / FireShotClickTrigger / FireflyTrigger / Gumball / IceShot / IceShotClickTrigger / Inferno / InstantDeath / ReflectBarrier / Teleport / VoidGate / WaterShot / WaterShotClickTrigger / WoodShot / WoodShotClickTrigger,AccelDown / AccelRight / AccelUp / Acceleration / AdditionalKnockback / Attraction / ErrorDegreeReduce / IceDamage / Invert / Pause / Penetration / WaterDamage,FiveRandomChainCast / ThreeChainCast,AddTrigger / Orbit / TwoMultiplier / TwoSplit
2-6,Blade / ExampleSpellClickTrigger / FireShot / FireShotClickTrigger / FireflyTrigger / Gumball / IceShot / IceShotClickTrigger / Inferno / ReflectBarrier / Teleport / WaterShot / WaterShotClickTrigger,AccelLeft / Deceleration / Downward / Elasticity / Expansion / IceDamage / Invert / LowGravity / Penetration / Remote / Repulsion / TurnLeft / TurnRight / Upward / WaterDamage,FiveRandomChainCast / ThreeChainCast / TwoChainCast,AddClickTrigger / AddTrigger / CoolTimeShortenFlat / FiveMultiplier / FiveSplit / Following / ThreeMultiplier
3-2,Blade / FireShot / FireShotClickTrigger / GiantArrow / Gumball / IceBreak / IceShot / IceShotClickTrigger / Inferno / InstantDeath / VoidGate / WaterShot / WaterShotClickTrigger / WoodShot / WoodShotClickTrigger,AccelLeft / AccelRight / AddGravity / AdditionalKnockback / Contraction / Directivity / Downward / Extension / FireDamage / IceDamage / InvertHorizontal / InvertVertical / LowGravity / Repulsion / TurnLeft / TurnRight / WaterDamage,ThreeChainCast / ThreeRandomChainCast / TwoRandomChainCast,FiveMultiplier / FiveSplit / Orbit / ThreeMultiplier / ThreeSplit / TwoMultiplier / TwoSplit
3-4,AreaHeal / FireShot / FireShotClickTrigger / FireflyTrigger / Gumball / IceBreak / IceShot / IceShotClickTrigger / InstantDeath / MegaBeam / Teleport / VoidGate / WaterShot / WaterShotClickTrigger,AccelDown / AccelUp / Acceleration / AddGravity / AdditionalDamage / Contraction / Downward / Elasticity / ErrorDegreeReduce / Expansion / IceDamage / Invert / InvertVertical / LowGravity / Shorten / TeleportHoming / TurnLeft / WaterDamage,Skip / ThreeChainCast / ThreeRandomChainCast / TwoRandomChainCast,AddClickTrigger / AddTrigger / CoolTimeShortenFlat / FiveMultiplier / FiveSplit / Following / Orbit / ThreeMultiplier / ThreeSplit / TwoMultiplier / TwoSplit
3-6,Enchant / FireShot / FireShotClickTrigger / GiantArrow / Gumball / HealShot / HealShotClickTrigger / IceBreak / IceShot / IceShotClickTrigger / InstantDeath / ReflectBarrier / WaterShot / WaterShotClickTrigger,AccelDown / AccelLeft / AccelUp / Acceleration / AddGravity / AdditionalKnockback / Attraction / Downward / Elasticity / ErrorDegreeReduce / Expansion / FireDamage / Homing / IceDamage / Invert / InvertHorizontal / LowGravity / Remote / Repulsion / SelfHarm / TeleportHoming / Upward / WaterDamage,FiveChainCast / ThreeChainCast / ThreeRandomChainCast / TwoChainCast / TwoRandomChainCast,FiveMultiplier / FiveSplit / ThreeMultiplier / ThreeSplit / TwoMultiplier / TwoSplit
4-2,AreaHeal / Barrier / ExampleSpell / FireShot / FireShotClickTrigger / FireflyTrigger / Gumball / IceBreak / IceShot / IceShotClickTrigger / Inferno / InstantDeath / MegaBeam / ReflectBarrier / Teleport / WaterShot / WaterShotClickTrigger / WoodShot / WoodShotClickTrigger,AccelDown / AccelRight / AddGravity / AdditionalDamage / Deceleration / Elasticity / ErrorDegreeIncrease / ErrorDegreeReduce / Expansion / Extension / FireDamage / HealingDamage / InvertVertical / Penetration / Remote / Repulsion / SelfHarm / TeleportHoming / TurnLeft,FiveChainCast / Skip / TwoChainCast / TwoRandomChainCast,AddClickTrigger / CoolTimeShorten / CoolTimeShortenFlat / FiveSplit / Following / Orbit / ThreeMultiplier / ThreeSplit / TwoMultiplier
4-4,AreaHeal / Barrier / Enchant / ExampleSpell / ExampleSpellClickTrigger / FireShot / FireShotClickTrigger / FireflyTrigger / HealShot / HealShotClickTrigger / IceBreak / IceShot / IceShotClickTrigger / Inferno / InstantDeath / MegaBeam / Teleport / VoidGate / WaterShot / WaterShotClickTrigger,AccelRight / Acceleration / Attraction / Deceleration / Directivity / Elasticity / ErrorDegreeReduce / Expansion / Extension / FireDamage / HealingDamage / IceDamage / Invert / InvertHorizontal / InvertVertical / Penetration / Repulsion / SelfHarm / Shorten / TeleportHoming / TurnRight / WaterDamage / WoodDamage,FiveChainCast / FiveRandomChainCast / Skip / ThreeChainCast / TwoChainCast,AddClickTrigger / AddTrigger / FiveSplit / Following / Orbit / ThreeSplit
4-6,AreaHeal / Barrier / Blade / ExampleSpell / ExampleSpellClickTrigger / FireShot / FireShotClickTrigger / FireflyTrigger / IceBreak / IceShot / IceShotClickTrigger / Inferno / MegaBeam / WoodShot / WoodShotClickTrigger,AccelDown / AccelRight / AccelUp / Acceleration / AddGravity / AdditionalDamage / Attraction / Contraction / Deceleration / Directivity / Downward / ErrorDegreeIncrease / FireDamage / HealingDamage / Homing / IceDamage / InvertHorizontal / InvertVertical / LowGravity / Pause / Penetration / Remote / Repulsion / SelfHarm / Shorten / TeleportHoming / Upward / WoodDamage,FiveChainCast / FiveRandomChainCast / Skip / ThreeChainCast / TwoRandomChainCast,AddClickTrigger / AddTrigger / FiveSplit / Following / Orbit / ThreeMultiplier / ThreeSplit / TwoMultiplier
5-2,AreaHeal / Blade / Enchant / ExampleSpell / ExampleSpellClickTrigger / FireShot / FireShotClickTrigger / FireflyTrigger / GiantArrow / HealShot / HealShotClickTrigger / IceBreak / IceShot / IceShotClickTrigger / Inferno / InstantDeath / ReflectBarrier / Teleport / VoidGate / WoodShot / WoodShotClickTrigger,AccelDown / AccelRight / Acceleration / AdditionalKnockback / Attraction / Contraction / Directivity / Downward / ErrorDegreeIncrease / ErrorDegreeReduce / Expansion / Extension / IceDamage / Invert / InvertHorizontal / InvertVertical / LowGravity / Pause / Penetration / Remote / Repulsion / Shorten / TeleportHoming / TurnLeft / TurnRight / WaterDamage,FiveChainCast / FiveRandomChainCast / Skip / ThreeRandomChainCast / TwoRandomChainCast,AddClickTrigger / CoolTimeShortenFlat / FiveMultiplier / Orbit / ThreeMultiplier / ThreeSplit / TwoMultiplier / TwoSplit
5-4,Barrier / Blade / ExampleSpell / ExampleSpellClickTrigger / GiantArrow / Gumball / HealShot / HealShotClickTrigger / IceBreak / MegaBeam / ReflectBarrier / Teleport / VoidGate / WaterShot / WaterShotClickTrigger / WoodShot / WoodShotClickTrigger,AccelDown / AccelRight / AccelUp / Acceleration / AddGravity / AdditionalDamage / AdditionalKnockback / Attraction / Contraction / Directivity / Downward / ErrorDegreeReduce / Expansion / Extension / FireDamage / Homing / Invert / InvertHorizontal / InvertVertical / LowGravity / Pause / Remote / SelfHarm / Shorten / TeleportHoming / TurnLeft / TurnRight / Upward / WaterDamage / WoodDamage,FiveChainCast / FiveRandomChainCast / Skip / ThreeChainCast / ThreeRandomChainCast / TwoChainCast,AddClickTrigger / AddTrigger / CoolTimeShorten / CoolTimeShortenFlat / FiveSplit / Following / Orbit / TwoMultiplier / TwoSplit
